,Image,Artist,Work,CP Hex1,CP Hex2,CP Hex3,CP Hex4,CP Hex5,CP Hex6,Image_Category,Unique_Color
22,https://en.most-famous-paintings.com/Art.nsf/O/8XY37T/$File/Francisco-De-Goya-The-Third-of-May-1808-Execution-of-the-Defenders-of-Madrid--S.JPG,Francisco De Goya, The Third of May 1808 ,#1c191b,#322c25,#191f26,#968365,#615540,#d5ccb9,Brownish,
23,https://en.most-famous-paintings.com/Art.nsf/O/5ZKGA3/$File/Vincent-Van-Gogh-Cafe-Terrace-on-the-Place-du-Forum-Arles-at-Night-S.jpg,Vincent Van Gogh," Cafe Terrace on the Place du Forum, Arles, at Night ",#0e2626,#999f71,#638681,#c4aa34,#164d6b,#596039,Greenish,
24,https://en.most-famous-paintings.com/Art.nsf/O/5ZKE5T/$File/Pierre-Auguste-Renoir-The-Great-Bathers-The-Nymphs--S.JPG,Pierre-Auguste Renoir, The Great Bathers ,#b37f4d,#d5a67c,#7f6b71,#784f30,#ebcfb6,#cdcee0,Brownish,#e01802
25,https://en.most-famous-paintings.com/Art.nsf/O/8YDT7F/$File/Raphael-Raffaello-Sanzio-Da-Urbino-The-School-of-Athens-detail-1-Stanza-della-Se...ella-Segnatura--S.JPG,Raphael (Raffaello Sanzio Da Urbino), The School of Athens ,#e4dcd2,#502e25,#c1a897,#9e9397,#804e3e,#a47b67,Brownish,#c04a39
26,https://en.most-famous-paintings.com/Art.nsf/O/5ZKCMV/$File/Henri-Matisse-Harmony-in-Red-S.jpg,Henri Matisse, Harmony in Red ,#cab08c,#8e233d,#395862,#91a0a1,#8b5931,#693f50,Brownish,#268c62
27,https://en.most-famous-paintings.com/Art.nsf/O/8XYU6F/$File/Rene-Magritte-The-Menaced-Assassin-S.JPG,Rene Magritte, The Menaced Assassin ,#c3b3a4,#19171b,#c6b9bb,#402f25,#917d65,#a8bbc2,Brownish,#f61956
28,https://en.most-famous-paintings.com/Art.nsf/O/5ZKCTQ/$File/Joan-Miro-Ciphers-and-Constellations-in-Love-with-a-Woman-S.jpg,Joan Miro," Ciphers and Constellations, in Love with a Woman ",#f4ecda,#3d281d,#bd3240,#375a87,#c79f86,#d4e1e3,Brownish,#05f6a4
29,https://en.most-famous-paintings.com/Art.nsf/O/8XXU3N/$File/EdvardMunch-Melancholy-S.JPG,Edvard Munch, Melancholy ,#9e9cb2,#3c2019,#1e1115,#d6d5c3,#313540,#91673e,Brownish,#4f967a
30,https://en.most-famous-paintings.com/Art.nsf/O/5ZKBVE/$File/Claude_Monet-Gare_Saint_Lazare_Pari-S.jpg,Claude Monet," Gare Saint Lazare, Pari ",#2b1e24,#8d9274,#818599,#35261c,#b4c7a3,#655b41,Brownish,#7c3a35
31,https://en.most-famous-paintings.com/Art.nsf/O/8DNVVC/$File/Andrea-Mantegna-The-Lamentation-over-the-Dead-Christ-S.JPG,Andrea Mantegna, The Lamentation over the Dead Christ ,#0b130c,#826039,#58462a,#c4985d,#ac7b47,#2d2a19,Brownish,
32,https://en.most-famous-paintings.com/Art.nsf/O/8LSVXF/$File/Max-Beckmann-The-Night-S.jpg,Max Beckmann, The Night ,#937b64,#21202d,#95868e,#c9b695,#503c30,#4e323a,Brownish,#5b45da
33,https://en.most-famous-paintings.com/Art.nsf/O/8YDJ3Z/$File/Caravaggio-Michelangelo-Merisi-Narcissus-S.jpg,Caravaggio (Michelangelo Merisi), Narcissus ,#593927,#18191e,#dbc9b6,#221b1e,#251c18,#997c62,Brownish,#ae2d1f
34,https://en.most-famous-paintings.com/Art.nsf/O/8Y2UZL/$File/Diego-Rodriguez-De-Silva-Y-Velazquez-Las-Meninas-detail-3--S.JPG,Diego Velazquez, Las Meninas ,#060609,#938059,#50432a,#cecab5,#0d090b,#1a140e,Blackish,
35,https://en.most-famous-paintings.com/Art.nsf/O/5ZKG3Q/$File/Vincent-Van-Gogh-Portrait-of-Dr.-Gachet-S.jpg,Vincent Van Gogh, Portrait of Dr. Gachet ,#dfb146,#a46435,#355075,#385237,#6a8f80,#192846,Greenish,#a33d4b
36,https://en.most-famous-paintings.com/Art.nsf/O/7Z5Q64/$File/Gustav_Klimt-Portrait_of_Adele_Bloch-Bauer_I-S.JPG,Gustav Klimt, Portrait of Adele Bloch-Bauer I ,#ae8e3c,#c8bb8e,#536b37,#9b6f23,#403219,#cfb04c,Brownish,
37,https://en.most-famous-paintings.com/Art.nsf/O/9FJJTZ/$File/Rose-Maynard-Barton-The-Dream-S.jpg,Rose Maynard Barton, The Dream ,#dde1ed,#7b261a,#ece9e2,#894b53,#28696b,#dcbe2d,Redish,#089df8
38,https://en.most-famous-paintings.com/Art.nsf/O/8YDJ24/$File/Paul-Gauguin-Nafeaffaa-Ipolpo-also-known-as-When-Will-You-Marry--S.JPG,Paul Gauguin, Nafeaffaa Ipolpo ,#3d3144,#6b2814,#d57419,#c7a36e,#2b3816,#975d2a,Brownish,#aa5770
39,https://en.most-famous-paintings.com/Art.nsf/O/8XXP5J/$File/Arshile-Gorky-Waterfall-2--S.JPG,Arshile Gorky, Waterfall ,#818e95,#b1bec2,#aeb285,#3d4c5e,#9ba8ae,#88675a,White-ish,#3766d9
40,https://en.most-famous-paintings.com/Art.nsf/O/8XYQ2G/$File/Paul-Cezanne-The-Card-Players-4--S.JPG,Paul Cezanne, The Card Players ,#58413b,#474a56,#d5c0a8,#1d2128,#b86950,#605157,Blackish,#b22452
41,https://en.most-famous-paintings.com/Art.nsf/O/8XYP49/$File/Pablo-Picasso-Women-of-Algiers-Version-O--S.jpg,Pablo Picasso, Women of Algiers ,#bb9e68,#4f343c,#416a74,#5d492e,#9baeb4,#122129,Brownish,#2fd194
42,https://en.most-famous-paintings.com/Art.nsf/O/8EWJX6/$File/Jackson-Pollock-Number-1-1949-S.JPG,Jackson Pollock," Number 1, 1949 ",#a48e79,#644e3f,#c6b29c,#534044,#3e2a20,#856e5b,Brownish,#9a2d1e
43,https://en.most-famous-paintings.com/Art.nsf/O/8YDVLN/$File/Vincent-Van-Gogh-The-Sower-S.jpg,Vincent Van Gogh, The Sower ,#3f402c,#3c4a56,#b1b950,#6a7f93,#283f36,#788156,Greenish,#8b2f27
44,https://en.most-famous-paintings.com/Art.nsf/O/9GG775/$File/PaulCezanne-thecardplayers(1892)-S.JPG,Paul Cezanne, the card players ,#2c2619,#6f4512,#6d6b6f,#867667,#313b3f,#575142,Blackish,#8a3127
45,https://en.most-famous-paintings.com/Art.nsf/O/5ZKCVC/$File/Joan-Miro-Joan-Mir-Catalan-Landscape-The-Hunter--S.jpg,Joan Miro, Joan Miró- Catalan Landscape ,#346340,#e1d274,#a98351,#f4d5ac,#e9a77d,#45331e,Brownish,#eb8f6d
46,https://en.most-famous-paintings.com/Art.nsf/O/8BWLKF/$File/Giuseppe-Arcimboldo-Vortumnus-Vertumno--S.jpg,Giuseppe Arcimboldo, Vertumnus ,#c0ba8e,#7a5831,#483b1b,#978e56,#2a2017,#744046,Brownish,#65c829
47,https://en.most-famous-paintings.com/Art.nsf/O/5ZKDG3/$File/Pablo-Picasso-Portrait-of-Ambroise-Vollard-S.jpg,Pablo Picasso, Portrait of Ambroise Vollard ,#2f231d,#846f62,#473b3d,#b1a591,#5f493e,#aab6b4,Brownish,#e4a792
48,https://en.most-famous-paintings.com/Art.nsf/O/8XYPCB/$File/Pablo-Picasso-Guernica-S.jpg,Pablo Picasso, Guernica ,#e2e2e2,#3d3d3d,#8f8f8f,#626262,#bababa,#1a1a1a,White-ish,
49,https://en.most-famous-paintings.com/Art.nsf/O/5ZKBDD/$File/Albrecht-Durer-Portrait-of-a-Young-Venetian-Woman-S.JPG,Albrecht Durer, Portrait of a Young Venetian Woman ,#744b1c,#97a6b3,#bb892d,#34200f,#909884,#2b191d,Blackish,#499f12
50,https://en.most-famous-paintings.com/Art.nsf/O/8LHT7E/$File/Emile_Nolde-The_Mocking_of_Christ-S.JPG,Emile Nolde, The Mocking of Christ ,#e3944e,#73523a,#9c573e,#513228,#c0794a,#907049,Brownish,
