,Image,Artist,Work,CP Hex1,CP Hex2,CP Hex3,CP Hex4,CP Hex5,CP Hex6,Image_Category,Unique_Color
0,https://en.most-famous-paintings.com/Art.nsf/O/8XYFFG/$File/Leonardo-Da-Vinci-Mona-Lisa-La-Gioconda--S.jpg,Leonardo Da Vinci, Mona Lisa ,#89a09a,#3c252e,#503223,#576a69,#d9ae74,#8a623b,Brownish,#a1544d
1,https://en.most-famous-paintings.com/Art.nsf/O/5ZKG47/$File/Vincent-Van-Gogh-Starry-Night-S.jpg,Vincent Van Gogh, The Starry Night ,#4e84b2,#8db8ca,#17273b,#1c221b,#25508e,#bec68c,Blueish,#ded63b
2,https://en.most-famous-paintings.com/Art.nsf/O/8XXU4K/$File/Edvard-Munch-The-Scream-S.jpg,Edvard Munch, The Scream ,#63788a,#d79b6c,#46353c,#5c4d41,#a67e84,#202f3b,Brownish,#dc3828
3,https://en.most-famous-paintings.com/Art.nsf/O/5ZKDK5/$File/Pablo-Picasso-Three-Musicians-S.JPG,Pablo Picasso, Three Musicians ,#887651,#e2e9b8,#524196,#271708,#61370e,#ba6d12,Brownish,
4,https://en.most-famous-paintings.com/Art.nsf/O/8XYC2C/$File/Jan-Vermeer-The-Girl-with-a-Pearl-Earring-S.jpg,Jan Vermeer, The Girl with a Pearl Earring ,#030208,#937e40,#84b4d4,#252110,#dec89d,#19385c,Brownish,#ca2b1c
5,https://en.most-famous-paintings.com/Art.nsf/O/8YDJKC/$File/Rembrandt_Van_Rijn-Night_Watch_-S.JPG,Rembrandt Van Rijn, Night Watch ,#181103,#7c652e,#b09e68,#2a1f0d,#4e3a15,#100f07,Brownish,
6,https://en.most-famous-paintings.com/Art.nsf/O/5ZKCLN/$File/Gustav-Klimt-The-Kiss-Bacio--S.jpg,Gustav Klimt, The Kiss ,#3d3111,#e7c23f,#69582c,#3a5a3a,#312630,#a18643,Brownish,#bb3f33
7,https://en.most-famous-paintings.com/Art.nsf/O/8EWENT/$File/Claude-Monet-Water-Lilies-S.JPG,Claude Monet, Water Lilies ,#546e55,#5c7991,#204377,#c6dcbf,#87a183,#7b9aba,Greenish,
8,https://en.most-famous-paintings.com/Art.nsf/O/8YE42F/$File/Georges-Pierre-Seurat-A-Sunday-Afternoon-on-the-Island-of-La-Grande-Jatte-S.JPG,Georges Pierre Seurat, A Sunday Afternoon on the Island of La Grande Jatte ,#846b4d,#a4abb2,#473741,#c2af88,#3e3528,#87717c,Brownish,#381e94
9,https://en.most-famous-paintings.com/Art.nsf/O/8XY5W5/$File/Grant-Wood-American-Gothic-S.jpg,Grant Wood, American Gothic ,#1e2323,#bacdbd,#3b290f,#d1be91,#14140f,#86764f,Blackish,#4aad11
10,https://en.most-famous-paintings.com/Art.nsf/O/8EWK3Z/$File/James-Abbott-Mcneill-Whistler-Arrangement-in-Grey-and-Black.-Portrait-of-the-Pai...ainter_s-Mother-S.JPG,James Abbott Mcneill Whistler, Arrangement in Grey and Black. Portrait of the Painter's Mother ,#16171b,#636558,#232624,#e2e6d8,#afa585,#2f2b24,Blackish,
11,https://en.most-famous-paintings.com/Art.nsf/O/5ZKG53/$File/Vincent-Van-Gogh-Cafe-Terrace-at-Night-S.jpg,Vincent Van Gogh, Café Terrace at Night ,#c9af30,#45506c,#453f24,#a2946f,#6679c1,#2a222d,Brownish,#912920
12,https://en.most-famous-paintings.com/Art.nsf/O/8XYU67/$File/Rene-Magritte-The-Son-of-Man-S.jpg,Rene Magritte, The Son of Man ,#342b2f,#e0f1ea,#4a504e,#564938,#b5d4d2,#cfb17b,Brownish,#e13f2f
